Indx,Gender,Age,Homeincome,NumHH,Home_Hcode,Work_Hcode,Distance,Home_X,Home_Y,Work_X,Work_Y,Prob_XYZ
595,0,3,5,4,1165062100,1168067000,2,126.98984,37.48901,127.06551,37.487175,2.6929805e-05
54,1,1,6,5,1162066500,1117069000,2,126.936806,37.47438,126.98706,37.522045,7.5018756e-06
949,1,0,5,4,1174070000,1114052000,3,127.1438,37.53128,126.97455,37.56353,3.1257812e-05
263,1,4,3,2,1162069500,1121583000,3,126.92811,37.486557,127.0855,37.534027,2.2227778e-05
510,1,2,2,1,1117051000,1165065100,2,126.979774,37.54946,127.034706,37.477028,2.7279548e-05
64,1,4,2,1,1132052200,1111061500,3,127.04778,37.679993,126.9847,37.57201,4.4314866e-06
943,0,0,3,3,1132069000,1114055000,3,127.042435,37.664932,126.983185,37.565777,2.0838545e-05
113,1,3,4,4,1162063000,1144074000,3,126.97745,37.472748,126.88982,37.57964,7.5018754e-05
738,1,2,2,2,1168070000,1168072000,1,127.10063,37.470707,127.084724,37.48722,3.0890074e-05
904,0,0,2,3,1144056500,1144066000,1,126.95712,37.54675,126.92121,37.554344,1.9677052e-05
165,0,2,4,2,1135064000,1114054000,3,127.06712,37.657173,126.9761,37.557823,1.8992088e-05
715,0,0,6,5,1162054500,1153054000,1,126.95988,37.48943,126.8956,37.484562,2.0459664e-05
141,0,3,6,3,1159062000,1165065100,1,126.975655,37.47899,127.034706,37.477028,2.2732958e-05
744,1,1,3,1,1162057500,1168064000,2,126.96029,37.480988,127.0346,37.499786,1.8425659e-05
861,1,0,4,4,1130564500,1150062000,3,127.011795,37.65048,126.806816,37.55611,3.3341665e-05
29,0,4,3,2,1168052100,1165053100,1,127.02787,37.509563,127.02049,37.49868,1.2906451e-05
322,0,3,4,4,1162068500,1162058500,1,126.91872,37.48602,126.956505,37.47481,3.922549e-06
618,0,1,4,1,1156054000,1156054000,1,126.928795,37.52282,126.925804,37.524593,6.174382e-06
504,1,4,2,3,1144056500,1156054000,1,126.95712,37.54675,126.925804,37.524593,4.0993864e-06
389,0,2,2,1,1159052000,1165058100,1,126.938965,37.509956,127.0044,37.501976,1.4709559e-05
531,0,3,4,3,1162062500,1168064000,2,126.96644,37.471664,127.0346,37.499786,1.0528947e-05
134,0,3,5,4,1130554500,1168065000,3,127.034035,37.61573,127.04451,37.50055,6.155384e-05
262,1,0,4,6,1153055000,1153053000,1,126.89068,37.492123,126.88135,37.497166,1.4868582e-05
557,1,2,2,4,1138064000,1141072000,1,126.907005,37.584816,126.9124,37.580605,1.0002501e-05
172,0,0,1,1,1123054500,1123054500,1,127.03593,37.58501,127.038994,37.583984,1.5155307e-05
673,1,4,2,2,1135066500,1126065500,2,127.079926,37.668083,127.10444,37.60375,1.6670832e-05
23,0,2,6,4,1129076000,1156062000,3,127.04589,37.61724,126.89507,37.536278,5.455908e-05
295,0,2,2,1,1121577000,1174057000,1,127.091354,37.55899,127.13735,37.55236,7.274545e-05
215,0,1,2,3,1138051000,1114052000,1,126.933266,37.60424,126.97455,37.56353,6.2515624e-06
634,1,0,5,1,1141058500,1111053000,1,126.937035,37.561035,126.972786,37.572796,1.111389e-05
408,0,0,3,3,1132051400,1156054000,3,127.05071,37.651978,126.925804,37.524593,5.5569446e-05
592,0,2,3,3,1141062000,1171067000,3,126.94349,37.584732,127.08713,37.513924,0.00015003751
480,0,1,4,2,1156063000,1156063000,1,126.91994,37.510826,126.919136,37.51433,3.334166e-05
630,0,3,3,3,1147057000,1111061500,3,126.84642,37.52336,126.9847,37.57201,2.6477206e-05
185,0,2,2,4,1135060000,1165053000,3,127.08345,37.624477,127.01026,37.487865,7.144644e-06
977,1,1,5,4,1120066000,1168058000,1,127.04695,37.548813,127.060036,37.51189,1.1541344e-05
22,0,2,3,1,1154567000,1154567000,1,126.9009,37.454594,126.89868,37.455036,2.5006253e-05
545,1,1,6,1,1159053000,1156053500,1,126.952415,37.498062,126.906555,37.521545,4.1186766e-05
574,0,2,4,4,1162069500,1159055000,1,126.92811,37.486557,126.93287,37.499084,1.1767648e-05
515,0,1,2,1,1121583000,1120067000,1,127.08305,37.529644,127.05529,37.540375,1.7312019e-05
500,0,0,3,3,1135061900,1165058000,3,127.081345,37.64916,127.00529,37.50825,1.0129112e-05
321,0,0,3,2,1159066000,1159068000,1,126.92659,37.506725,126.92238,37.49412,8.644134e-06
746,0,0,3,2,1132071000,1165053100,3,127.02617,37.65938,127.02049,37.49868,2.9173956e-05
211,1,4,3,4,1156056000,1153073000,1,126.90225,37.531227,126.8492,37.50564,2.1610338e-05
834,1,0,3,1,1147057000,1147057000,1,126.84642,37.52336,126.84656,37.52442,2.222778e-05
61,0,4,4,3,1135060000,1168064000,3,127.08345,37.624477,127.0346,37.499786,1.1431429e-05
818,0,3,5,4,1111061500,1111063000,1,126.99152,37.57191,127.003784,37.572556,2.4248488e-05
490,1,1,4,4,1150054000,1156054000,2,126.84056,37.53351,126.925804,37.524593,5.8347916e-05
906,0,2,3,4,1126056500,1120065000,2,127.08945,37.588623,127.04473,37.543495,1.7147144e-05
254,0,3,5,4,1154561000,1154551000,1,126.89333,37.46519,126.88311,37.47783,2.0838543e-05
616,0,3,4,3,1120069000,1114052000,2,127.05506,37.545803,126.97455,37.56353,1.9235578e-05
143,1,0,5,4,1154569000,1154551000,1,126.906166,37.4405,126.88311,37.47783,3.1257812e-05
627,0,2,2,4,1126062000,1162069500,3,127.08216,37.61453,126.9305,37.48564,1.0002501e-05
400,1,1,2,1,1135059500,1135059500,1,127.07246,37.625233,127.07411,37.623993,6.668333e-06
289,0,3,4,4,1159064000,1153054000,2,126.972466,37.488396,126.8956,37.484562,3.1586842e-05
751,0,0,4,4,1159067000,1156072000,1,126.91014,37.49009,126.897865,37.498898,1.6220272e-05
449,1,0,3,2,1159054000,1165054000,2,126.942856,37.503136,127.01719,37.51394,1.1767648e-05
626,0,3,4,5,1126059000,1114055000,2,127.08599,37.59455,126.983185,37.565777,1.0419272e-05
352,1,2,3,3,1126065500,1129052500,2,127.100975,37.5999,127.00158,37.59291,1.6670834e-05
246,1,0,2,1,1111071000,1111064000,1,127.02075,37.575657,127.00077,37.5796,2.4248488e-05
953,1,2,3,4,1156063000,1135056000,3,126.91994,37.510826,127.059105,37.62143,2.0004996e-05
951,0,3,5,4,1154561000,1154564000,1,126.89333,37.46519,126.90118,37.468338,1.4586979e-05
669,0,2,4,4,1144069000,1114068000,1,126.90518,37.55489,126.96656,37.55938,1.6670834e-05
38,0,1,3,3,1159064000,1165052000,1,126.972466,37.488396,127.02878,37.49143,1.8186365e-05
581,1,1,5,4,1174070000,1171064200,1,127.1438,37.53128,127.12065,37.48295,7.501876e-06
338,0,4,2,3,1171056600,1114055000,3,127.13637,37.517563,126.983185,37.565777,4.1677078e-05
755,0,1,4,3,1144065500,1144063000,1,126.92868,37.548557,126.93502,37.54649,1.7464683e-05
521,0,2,3,4,1132052100,1165066000,3,127.04308,37.683235,127.061905,37.460518,1.7725946e-05
365,1,2,3,1,1132052100,1132052100,1,127.04308,37.683235,127.03749,37.6831,8.622845e-06
860,0,2,2,1,1156051500,1156053500,1,126.90655,37.512436,126.906555,37.521545,1.8523146e-05
766,0,1,4,1,1121577000,1117065000,2,127.091354,37.55899,126.99275,37.53361,3.5723217e-05
234,0,3,5,4,1129071500,1150060500,3,127.036514,37.607403,126.86156,37.560394,7.69423e-06
214,0,1,2,4,1154561000,1147057000,2,126.89333,37.46519,126.84656,37.52442,6.0014998e-05
797,0,0,3,2,1132068000,1168063000,3,127.031265,37.64759,127.05458,37.50417,2.5006251e-05
979,1,0,4,5,1144073000,1117070000,2,126.90454,37.570023,126.998,37.52757,1.7651473e-05
733,0,1,4,4,1117057000,1156054000,1,126.95135,37.53449,126.925804,37.524593,7.378894e-06
693,0,2,4,4,1168065000,1171052000,2,127.04435,37.49871,127.1101,37.526978,1.50037495e-05
74,1,3,4,2,1154562000,1154561000,1,126.90163,37.463356,126.8944,37.467144,3.334167e-05
284,1,4,4,3,1147061000,1168061000,3,126.84303,37.515778,127.0628,37.50562,1.765147e-05
586,0,1,3,2,1135058000,1168058000,3,127.066696,37.621105,127.060036,37.51189,2.7279546e-05
326,0,1,3,3,1135061100,1168065000,3,127.071815,37.638103,127.04451,37.50055,2.6588921e-05
538,1,1,5,1,1117059000,1117055500,1,126.95764,37.538063,126.96704,37.54758,6.5590175e-06
909,0,2,1,4,1126061000,1144074000,3,127.075226,37.598843,126.88982,37.57964,2.2862858e-05
722,0,2,4,1,1168072000,1111061500,3,127.08275,37.483654,126.9847,37.57201,2.143393e-05
30,0,3,6,3,1120069000,1120065000,1,127.05506,37.545803,127.04473,37.543495,1.1541347e-05
277,1,3,4,4,1165052000,1165053100,1,127.02819,37.49071,127.02049,37.49868,3.8104758e-05
429,1,1,4,2,1159056000,1144056500,1,126.94088,37.497684,126.95451,37.54658,1.4709559e-05
434,1,3,2,4,1147061100,1156061000,1,126.8314,37.519863,126.88929,37.52562,4.763096e-06
252,1,1,2,1,1135063000,1165058100,3,127.0541,37.678062,127.0044,37.501976,3.7984177e-05
769,1,2,4,4,1168052100,1168052100,1,127.02787,37.509563,127.02557,37.511536,2.9039516e-05
206,1,1,2,1,1135069500,1144059000,3,127.06129,37.650402,126.94696,37.54184,5.6976256e-05
854,0,2,4,4,1147068000,1147068000,1,126.862595,37.510986,126.8692,37.51106,6.350794e-06
200,0,4,4,1,1171063100,1156054000,3,127.10719,37.49757,126.925804,37.524593,7.896711e-06
198,1,1,2,1,1135066500,1117055500,3,127.079926,37.668083,126.96704,37.54758,3.165348e-05
216,0,3,3,4,1121578000,1156054000,3,127.082504,37.5534,126.925804,37.524593,6.0015e-05
914,1,4,2,3,1111051500,1129071500,2,126.968124,37.581764,127.03382,37.604927,0.000100025
271,0,2,4,1,1144055500,1144056500,1,126.9526,37.552162,126.95451,37.54658,2.1433929e-05
464,1,3,3,4,1132068100,1132069000,1,127.03106,37.657215,127.04316,37.666416,2.7913953e-05
865,0,0,2,1,1144072000,1141055500,1,126.912,37.56237,126.95526,37.55846,1.19077395e-05
111,1,0,3,1,1117055500,1114057000,1,126.96731,37.548874,126.99266,37.560867,2.295656e-05
204,0,2,4,4,1153074000,1171063100,3,126.8503,37.500046,127.11105,37.494446,2.6477206e-05
224,1,1,3,4,1135063000,1135071000,1,127.0541,37.678062,127.061325,37.66722,2.0694828e-05
485,1,0,2,1,1135063000,1168052100,3,127.0541,37.678062,127.02557,37.511536,3.4185756e-05
393,1,1,4,2,1144068000,1153054000,2,126.909676,37.549248,126.8956,37.484562,3.3341665e-05
686,1,3,1,2,1162076500,1154562000,1,126.9153,37.47654,126.903076,37.466465,1.9612746e-05
347,0,3,4,5,1135063000,1168075000,3,127.0541,37.678062,127.10325,37.48732,1.0129112e-05
466,1,0,2,4,1123056000,1129055500,1,127.05093,37.579296,127.01377,37.58782,1.1907738e-05
374,0,1,4,2,1150055000,1150054000,1,126.85365,37.533287,126.84226,37.531906,2.0413272e-05
316,0,0,4,4,1111069000,1168052100,2,127.01282,37.579914,127.02557,37.511536,5.0012502e-05
846,0,0,6,5,1162076500,1162073500,1,126.9153,37.47654,126.94998,37.4629,2.0593383e-05
991,0,0,4,2,1165058000,1168053100,1,127.00696,37.510193,127.03564,37.51618,1.2906451e-05
189,0,3,5,4,1162056500,1154551000,2,126.95183,37.489433,126.88311,37.47783,1.3161185e-05
330,0,1,5,2,1111057000,1114068000,1,126.95916,37.575596,126.96656,37.55938,1.1541346e-05
423,0,3,3,3,1150059300,1171068000,3,126.848564,37.534004,127.094955,37.510857,2.143393e-05
193,0,4,2,3,1141069000,1141071000,1,126.91776,37.572098,126.910995,37.57318,6.668334e-05
782,0,1,4,3,1153075000,1171056100,3,126.856476,37.492092,127.12297,37.50995,5.1483457e-05
537,0,2,3,4,1135062500,1165054000,3,127.06574,37.64294,127.01719,37.51394,2.2790504e-05
65,0,0,4,4,1126062000,1171059000,3,127.08216,37.61453,127.11505,37.5016,3.7152146e-05
666,0,1,3,2,1130557500,1130561500,1,127.01584,37.617207,127.015785,37.632473,1.5793426e-05
871,0,2,4,4,1174068500,1144055500,3,127.14297,37.53863,126.95344,37.54889,3.1257812e-05
405,1,2,4,4,1153072000,1153056000,1,126.86243,37.501842,126.88918,37.502804,1.6670836e-05
473,1,1,3,3,1132051500,1132051500,1,127.04328,37.654743,127.044525,37.654045,1.1630815e-05
837,1,2,4,4,1162061500,1165051000,2,126.94939,37.48417,127.01802,37.487484,4.606415e-05
479,0,3,5,4,1162054500,1168065000,2,126.95988,37.48943,127.04451,37.50055,1.3161185e-05
253,1,4,3,2,1147055000,1156070000,1,126.87894,37.536404,126.90796,37.49281,6.1239816e-06
624,0,0,2,1,1138062500,1138056000,1,126.91593,37.604206,126.90982,37.609818,4.167708e-06
207,0,3,4,5,1141058500,1114054000,1,126.937035,37.561035,126.9761,37.557823,7.938493e-06
920,1,4,4,3,1174062000,1168064000,2,127.13365,37.539375,127.0346,37.499786,2.9637036e-05
354,1,3,3,4,1156055000,1156054000,1,126.89673,37.524662,126.925804,37.524593,3.087191e-06
346,1,2,4,4,1147063000,1156053500,1,126.87425,37.51936,126.906555,37.521545,1.42892895e-05
236,1,2,4,1,1154563000,1154551000,1,126.90364,37.475784,126.88311,37.47783,1.0787011e-05
705,0,1,2,1,1129072500,1129070500,1,127.044174,37.604347,127.03392,37.596947,1.3161188e-05
631,0,1,3,1,1123066000,1111053000,2,127.07297,37.576775,126.972786,37.572796,2.8578575e-05
403,0,0,2,1,1144071000,1144070000,1,126.920815,37.561783,126.901825,37.560116,1.4289288e-05
511,0,1,3,3,1162059500,1154551000,1,126.946236,37.478832,126.88311,37.47783,1.591307e-05
266,1,2,3,1,1126068000,1135069500,1,127.10092,37.609367,127.05984,37.651226,3.3341664e-06
973,0,0,2,1,1144061000,1117062500,1,126.94694,37.54962,126.96763,37.530537,1.4289288e-05
460,1,2,3,1,1174053000,1121581000,1,127.14596,37.551018,127.10514,37.548214,1.5003752e-05
499,1,2,5,2,1121577000,1174057000,1,127.091354,37.55899,127.13735,37.55236,3.6372727e-05
657,0,0,4,2,1153075000,1153075000,1,126.856476,37.492092,126.85661,37.492252,9.526192e-06
677,1,3,3,3,1147062000,1150060300,1,126.85943,37.518303,126.83402,37.564774,7.938494e-06
890,1,2,2,2,1168072000,1168065000,1,127.08275,37.483654,127.04451,37.50055,2.647721e-05
502,0,1,3,1,1129057500,1130559500,1,127.01864,37.594124,127.026,37.637215,1.3161188e-05
989,0,3,4,5,1132052200,1156056000,3,127.04778,37.679993,126.900505,37.531773,1.0129112e-05
296,0,2,4,3,1117051000,1156054000,1,126.979774,37.54946,126.925804,37.524593,4.0993864e-06
80,1,1,2,1,1132069000,1114058000,3,127.042435,37.664932,127.00417,37.558838,1.3892362e-05
835,1,1,4,5,1120072000,1114059000,1,127.06681,37.551952,127.00471,37.565742,8.656009e-06
911,1,1,3,2,1159063000,1153053000,2,126.97749,37.490883,126.88135,37.497166,2.7638487e-05
312,1,1,3,4,1117064000,1144059000,1,126.95459,37.52718,126.94696,37.54184,4.919263e-06
850,1,1,4,3,1162076500,1162069500,1,126.9153,37.47654,126.9305,37.48564,1.5690195e-05
220,1,3,4,4,1159053000,1159060500,1,126.952415,37.498062,126.959595,37.506313,1.7651471e-05
819,0,1,2,3,1129066000,1135058000,1,127.0187,37.609486,127.06391,37.62466,1.8425662e-05
336,1,1,3,3,1129065000,1114066500,2,127.0079,37.615818,127.017296,37.560993,1.7651471e-05
847,0,0,6,5,1162074500,1162066500,1,126.92844,37.466244,126.9381,37.474514,2.9419121e-05
467,1,4,3,2,1162052500,1150062000,3,126.93322,37.48994,126.806816,37.55611,5.5569442e-05
105,0,0,3,3,1120053500,1168064000,2,127.0297,37.56745,127.0346,37.499786,3.0007499e-05
188,1,1,3,1,1147061000,1144066000,2,126.84303,37.515778,126.92121,37.554344,8.335416e-06
250,1,3,5,6,1171061000,1168061000,1,127.09147,37.50212,127.0628,37.50562,3.479131e-05
49,1,1,3,2,1150051000,1156056000,1,126.87133,37.552193,126.900505,37.531773,4.082654e-06
359,0,3,3,4,1141061500,1144071000,1,126.932205,37.572433,126.92106,37.562405,2.6197025e-05
959,1,1,3,3,1135063000,1120066000,3,127.0541,37.678062,127.04727,37.548042,2.8488128e-05
287,1,3,4,4,1144073000,1114055000,2,126.90454,37.570023,126.983185,37.565777,8.825737e-06
663,0,0,3,3,1114066500,1168064000,2,127.01819,37.560776,127.0346,37.499786,4.0009996e-05
439,0,0,2,4,1120056000,1114055000,1,127.03615,37.557762,126.983185,37.565777,1.7395658e-05
313,0,2,4,4,1121584000,1156054000,3,127.07212,37.53465,126.925804,37.524593,4.2867858e-05
132,0,2,5,4,1138058000,1156054000,2,126.92762,37.598957,126.925804,37.524593,1.9235579e-06
678,0,1,3,3,1129071500,1123074000,1,127.036514,37.607403,127.05945,37.59689,3.9483566e-06
863,0,1,3,1,1135060000,1168053100,3,127.08345,37.624477,127.03564,37.51618,2.1433932e-05
53,0,2,2,1,1159053000,1165056000,1,126.952415,37.498062,127.01887,37.505806,2.0593383e-05
481,1,2,3,1,1135063000,1120066000,3,127.0541,37.678062,127.04727,37.548042,2.2790504e-05
353,1,1,5,4,1138064000,1111061500,2,126.907005,37.584816,126.9847,37.57201,1.470956e-05
197,1,2,4,4,1174060000,1171056100,1,127.13858,37.54591,127.12297,37.50995,3.750938e-06
990,1,4,3,2,1120052000,1120054000,1,127.026634,37.5611,127.03847,37.569088,1.0872286e-05
702,0,2,3,4,1111065000,1129055500,1,126.99777,37.587925,127.01377,37.58782,7.5776534e-06
131,0,1,2,1,1120057000,1111061500,1,127.0279,37.557564,126.9847,37.57201,1.0872286e-05
886,0,0,2,4,1147055000,1168073000,3,126.87894,37.536404,127.08557,37.493286,1.4289286e-05
695,1,1,4,2,1162058500,1165053000,1,126.9552,37.476223,127.01026,37.487865,5.6832396e-06
826,0,2,2,1,1121576000,1168072000,2,127.083046,37.5672,127.084724,37.48722,2.1433929e-05
360,0,0,3,3,1162073500,1162073500,1,126.93872,37.467335,126.94998,37.4629,1.0787011e-05
115,1,2,5,4,1117057000,1117056000,1,126.95135,37.53449,126.96682,37.53738,4.919263e-06
17,0,2,4,3,1114066500,1168064000,2,127.01819,37.560776,127.0346,37.499786,2.6673335e-05
808,1,2,4,1,1168059000,1168054500,1,127.04755,37.514008,127.032486,37.525246,2.2586288e-05
124,0,1,4,4,1162069500,1168064000,2,126.92811,37.486557,127.0346,37.499786,2.2505626e-05
8,1,2,3,1,1126052000,1111061500,2,127.07759,37.589306,126.9847,37.57201,1.2860359e-05
44,0,0,3,3,1153052000,1147051000,1,126.875534,37.49406,126.873886,37.527237,8.110136e-06
367,1,2,3,5,1132051200,1132051400,1,127.03604,37.641758,127.051956,37.651188,3.489245e-05
95,0,1,4,3,1144059000,1144063000,1,126.94212,37.542072,126.93502,37.54649,9.526192e-06
971,0,4,4,1,1171064200,1153054000,3,127.11778,37.485397,126.8956,37.484562,3.7509377e-05
610,0,2,4,1,1144071000,1144074000,1,126.920815,37.561783,126.88982,37.57964,1.6670834e-05
748,0,3,4,4,1168054500,1168056500,1,127.03218,37.52906,127.047646,37.52253,1.9359679e-05
954,0,1,4,1,1154567000,1154564000,1,126.9009,37.454594,126.90118,37.468338,1.4586979e-05
373,0,2,1,4,1135059500,1165058100,3,127.07246,37.625233,127.0044,37.501976,4.0010003e-05
825,0,0,3,3,1168065600,1156054000,2,127.051125,37.48971,126.925804,37.524593,1.50037495e-05
337,0,2,4,2,1171063100,1114055000,3,127.10719,37.49757,126.983185,37.565777,2.1057896e-05
622,1,3,3,5,1138063200,1150053500,2,126.90776,37.592525,126.8464,37.5603,7.6942315e-06
156,0,0,4,2,1141068500,1141058500,1,126.93276,37.585606,126.94108,37.562218,1.5628908e-05
415,0,1,3,2,1141058500,1141069000,1,126.937035,37.561035,126.91919,37.572834,3.1753968e-06
555,1,4,5,3,1150059000,1123065000,3,126.846016,37.542503,127.06595,37.56431,1.0716965e-05
996,1,3,4,4,1159056000,1159052000,1,126.94088,37.497684,126.93833,37.51354,5.8838236e-06
907,1,1,3,1,1121573000,1114055000,2,127.07332,37.553177,126.983185,37.565777,2.3082694e-05
833,1,2,3,1,1162052500,1154551000,1,126.93322,37.48994,126.88311,37.47783,2.941912e-06
589,1,1,5,2,1114066500,1168064000,2,127.01819,37.560776,127.0346,37.499786,2.6673335e-05
768,0,4,3,4,1130557500,1114052000,2,127.01584,37.617207,126.97455,37.56353,1.1767646e-05
867,0,1,4,1,1126057500,1168061000,2,127.09395,37.5847,127.0628,37.50562,8.573574e-06
267,0,0,3,1,1111051500,1130566000,2,126.968124,37.581764,127.01299,37.640015,2.1433929e-05
876,1,0,3,1,1147063000,1150053500,1,126.87425,37.51936,126.8464,37.5603,1.5876987e-05
361,1,3,4,4,1162063000,1144074000,3,126.97745,37.472748,126.88982,37.57964,7.5018754e-05
604,0,3,3,4,1171060000,1174064000,1,127.10235,37.502632,127.12395,37.529015,1.30467415e-05
947,1,3,2,3,1129065000,1130555500,1,127.0079,37.615818,127.02697,37.61918,2.10579e-05
255,1,3,4,4,1154562000,1156065000,1,126.90163,37.463356,126.905846,37.50589,1.6670834e-05
186,1,3,4,4,1154561000,1154562000,1,126.89333,37.46519,126.903076,37.466465,2.5006253e-05
210,0,1,2,1,1129064000,1114055000,1,127.004036,37.60825,126.983185,37.565777,1.052895e-05
585,1,2,3,1,1171051000,1171051000,1,127.117256,37.537052,127.12122,37.537292,1.0002502e-05
728,1,0,5,4,1130557500,1129060000,1,127.01584,37.617207,127.02956,37.588108,3.9483566e-06
488,0,2,6,2,1129070500,1168059000,2,127.033,37.598053,127.05012,37.509747,8.825735e-06
675,0,0,4,5,1135059500,1156054000,3,127.07246,37.625233,126.925804,37.524593,1.2860358e-05
879,0,1,2,1,1165051000,1165051000,1,127.019035,37.48753,127.01802,37.487484,2.8578572e-05
161,0,2,4,2,1135062100,1111053000,3,127.0745,37.64981,126.972786,37.572796,3.7984177e-05
341,1,3,3,2,1154551000,1154561000,1,126.888054,37.477966,126.8944,37.467144,2.703379e-05
292,0,2,2,3,1165062100,1168053100,1,126.98984,37.48901,127.03564,37.51618,1.1907738e-05
182,1,0,6,3,1121586000,1168059000,1,127.09161,37.55013,127.05012,37.509747,1.3639773e-05
181,0,4,4,2,1147057000,1156054000,2,126.84642,37.52336,126.925804,37.524593,2.2227774e-05
754,1,4,6,3,1168052100,1168051000,1,127.02787,37.509563,127.024506,37.521988,1.1293144e-05
259,0,3,2,1,1144068000,1144074000,1,126.909676,37.549248,126.88982,37.57964,1.111389e-05
100,1,4,3,2,1111063000,1111061500,1,127.00308,37.574535,126.9847,37.57201,7.5776534e-06
516,0,1,4,3,1171064200,1144066000,3,127.11778,37.485397,126.92121,37.554344,5.0012506e-05
392,0,1,4,4,1126065500,1126066000,1,127.100975,37.5999,127.09992,37.594204,4.001e-05
848,0,1,3,3,1132052100,1117056000,3,127.04308,37.683235,126.96682,37.53738,2.2790506e-05
789,0,1,4,4,1130553400,1114055000,2,127.01445,37.62317,126.983185,37.565777,8.825736e-06
107,1,4,4,3,1171061000,1168059000,1,127.09147,37.50212,127.05012,37.509747,2.6093483e-05
945,1,2,4,4,1121573000,1168054500,1,127.07332,37.553177,127.032486,37.525246,4.6165376e-05
345,0,1,4,1,1156054000,1144058500,1,126.928795,37.52282,126.94834,37.53954,4.9395053e-06
31,1,1,3,3,1132068000,1135069500,1,127.031265,37.64759,127.05984,37.651226,1.1630815e-05
37,1,4,2,1,1126062000,1121578000,2,127.08216,37.61453,127.08179,37.553238,8.335417e-06
982,1,1,4,4,1154563000,1159065100,1,126.90364,37.475784,126.96586,37.484776,9.806373e-06
687,1,2,4,2,1171052000,1171065000,1,127.11519,37.530403,127.08064,37.509567,1.2503127e-05
542,1,0,6,3,1174062000,1171062000,1,127.13365,37.539375,127.12213,37.496838,3.0007504e-05
694,1,3,4,4,1138051000,1129063000,2,126.933266,37.60424,127.00983,37.606007,2.0197354e-05
366,0,2,4,4,1147067000,1147065000,1,126.86822,37.5168,126.861595,37.525505,6.350794e-06
10,0,1,4,1,1154570000,1114055000,3,126.90806,37.45953,126.983185,37.565777,1.2503126e-05
780,1,4,2,3,1135072000,1135069500,1,127.05997,37.661507,127.05984,37.651226,3.104224e-05
730,0,3,4,4,1162054500,1168052100,2,126.95988,37.48943,127.02557,37.511536,5.5276974e-05
122,0,1,3,1,1130555500,1123070500,1,127.02501,37.620667,127.047295,37.588943,1.9741783e-05
541,1,4,2,2,1171062000,1171056100,1,127.12032,37.497013,127.12297,37.50995,1.1366478e-05
685,1,0,2,1,1126062000,1162073500,3,127.08216,37.61453,126.94998,37.4629,1.7147146e-05
600,0,0,4,4,1135069500,1165065200,3,127.06129,37.650402,127.04225,37.47005,4.4314866e-06
611,1,2,3,5,1120072000,1114059000,1,127.06681,37.551952,127.00471,37.565742,8.656009e-06
597,0,2,6,5,1168069000,1159051000,2,127.05245,37.47658,126.94808,37.5121,3.7509373e-05
